cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,power_consumption,uptime,status,screen_brightness,cpu_frequency,power_saver_active
30.48,53.76,46.63,11.92,312,6864,35646,8.19,54.25,25.77,23.4,0,55.7,2273.8,0
40.37,75.56,8.62,13.65,224,4928,28019,10.38,58.7,27.88,128.86,0,53.4,2244.6,0
18.41,59.91,2.27,16.61,304,5472,28980,6.93,50.51,20.81,110.53,0,58.8,1527.7,0
23.45,31.99,0.1,7.98,171,2907,16945,4.15,52.34,19.32,26.74,0,68.9,1113.6,0
17.51,91.41,4.05,16.15,153,2907,15724,5.49,49.39,18.69,120.66,0,29.5,1485.5,1
26.73,46.8,41.91,16.59,73,1022,8761,7.16,50.09,19.49,9.97,0,78.4,1368.6,1
23.87,18.49,46.51,14.03,302,4228,24585,5.24,47.74,18.39,15.43,0,48.8,1682.5,0
32.58,67.18,11.29,31.37,129,1935,13219,9.04,63.82,26.06,133.9,0,60.8,1978.5,0
44.35,42.88,15.59,13.87,347,7981,41729,7.84,62.35,24.25,0.35,0,95.8,1230.9,0
38.56,83.07,23.84,15.16,228,2052,16700,16.83,59.43,25.04,18.92,0,98.1,1224.0,0
9.62,65.82,0.86,6.78,294,5586,28066,2.74,47.25,15.08,60.46,0,31.4,898.2,0
20.9,86.97,7.03,22.74,244,5612,27853,11.49,51.24,21.98,124.13,0,52.7,1446.8,1
16.62,39.2,15.42,38.43,195,2340,14617,4.81,47.87,16.03,64.98,0,44.8,1720.8,0
22.72,74.17,34.28,13.38,229,4351,23602,4.28,56.81,21.13,76.14,0,38.3,1466.7,0
47.59,42.8,19.46,3.53,286,5434,32032,6.52,59.1,28.03,26.07,0,83.3,1920.4,1
11.59,60.15,6.46,23.22,294,2646,16262,17.86,47.52,17.35,178.33,0,30.0,1103.4,1
17.19,57.59,36.12,27.7,277,3601,20271,11.05,48.79,17.15,16.7,0,42.6,1213.5,1
24.09,75.81,16.39,13.87,90,1080,9549,8.95,53.41,18.01,55.85,0,31.2,1054.4,1
19.66,67.15,26.6,8.93,178,3026,17663,5.78,54.3,20.99,99.86,0,64.2,1917.9,0
15.45,48.03,7.3,26.16,215,1720,12107,10.69,46.31,16.7,91.18,0,24.7,1557.5,0
30.25,71.33,0.1,25.0,311,5909,31783,7.78,59.84,23.06,6.32,0,44.6,1839.0,0
26.29,53.62,2.73,14.17,103,1545,11616,10.02,51.48,25.59,27.55,0,99.0,1894.8,0
17.84,65.4,39.3,24.14,137,3151,18114,6.78,51.61,17.31,19.89,0,23.6,1812.5,0
7.14,59.43,0.51,7.88,204,2856,14983,11.34,42.63,18.74,4.45,0,92.9,1123.1,1
36.8,51.8,13.6,26.45,202,3434,21215,10.83,56.65,26.57,86.21,0,51.2,2144.2,0
16.5,35.15,7.89,14.36,219,4380,22659,2.12,45.3,16.93,75.69,0,47.7,1707.5,0
64.64,58.05,8.42,10.14,213,3621,25510,9.26,67.68,47.65,15.42,0,71.7,3077.8,0
50.31,44.87,7.68,13.06,147,1176,14132,11.07,64.31,32.15,95.46,0,94.1,2218.0,1
40.86,36.55,1.05,19.78,145,2755,17609,11.35,53.34,23.92,7.16,0,35.5,1892.9,1
37.85,67.46,1.96,14.66,178,1424,12861,9.42,58.17,29.12,403.73,0,46.4,2211.1,0
48.08,45.54,0.98,36.65,224,5152,28998,14.0,60.74,26.6,56.23,0,60.5,2045.1,0
45.02,27.92,0.83,25.23,195,1560,15068,9.95,60.95,29.44,19.41,0,96.3,2399.3,0
31.49,55.03,1.34,6.03,201,2211,15125,6.76,53.47,26.77,36.18,0,94.0,1411.2,0
34.58,52.72,17.89,21.21,258,3612,22020,7.61,51.01,19.06,77.97,0,54.5,1205.0,0
53.87,54.07,1.82,22.28,67,1005,11525,11.23,67.02,26.44,3.78,0,23.2,2076.5,1
30.62,54.06,4.55,17.62,255,5355,28407,6.36,56.92,20.75,285.83,0,47.5,1856.7,0
14.56,39.91,16.05,6.89,118,1888,11209,8.07,47.86,18.15,43.3,0,46.6,1775.0,0
45.19,49.01,1.79,23.84,69,1035,11282,13.13,62.96,27.71,14.19,0,86.2,1876.4,1
35.99,70.59,36.16,14.24,197,2167,16672,9.11,60.47,22.74,101.59,0,57.4,1588.9,1
6.19,67.82,9.74,6.64,75,1425,7964,1.24,48.88,18.37,12.25,0,33.7,964.7,0
23.29,49.7,49.48,15.09,318,7314,36935,7.97,54.01,19.38,160.33,0,57.2,1955.8,0
19.21,63.78,3.21,24.03,210,4620,24219,9.88,50.42,19.74,3.0,0,66.8,1491.7,0
51.99,56.4,0.47,7.35,61,610,8636,15.62,63.06,29.62,317.32,0,34.9,2086.2,0
22.02,50.05,13.38,7.35,124,2480,13621,8.33,49.89,16.24,40.78,0,33.4,1568.9,0
13.77,73.7,5.98,18.86,262,3668,20467,9.28,49.88,21.09,4.35,0,88.2,1250.9,1
47.2,41.58,12.74,15.18,171,2223,16429,8.07,61.04,29.8,180.49,0,40.1,2353.7,0
15.88,59.6,9.63,19.94,96,1632,9235,6.64,50.33,19.12,41.31,0,33.5,1515.2,0
5.97,30.05,9.16,12.71,248,4216,21110,1.34,40.67,14.23,26.36,0,22.7,1375.7,0
34.08,60.41,28.58,54.89,335,6700,36439,18.99,58.34,19.17,107.53,0,50.2,1309.6,0
30.66,45.1,3.19,9.87,336,2688,18741,7.31,55.22,19.55,59.67,0,29.1,1686.9,1
27.9,49.27,10.39,18.2,185,2220,15715,9.56,56.38,24.54,76.55,0,91.7,1942.1,0
32.88,50.63,8.07,9.27,106,1378,10580,17.92,55.79,26.3,15.07,0,56.0,2329.6,0
40.65,21.72,16.8,5.26,99,1881,13406,18.39,56.27,25.67,197.09,0,76.1,1926.6,1
32.35,30.79,0.77,11.32,295,3245,21742,8.26,54.76,24.57,124.5,0,39.7,2296.9,0
18.13,67.45,11.31,10.32,208,3536,19123,12.27,53.7,18.13,81.42,0,96.5,1064.3,0
11.03,56.57,9.77,35.59,322,5796,29774,4.29,47.66,18.58,95.96,0,60.4,1347.5,0
6.26,76.88,54.5,15.87,253,2024,11933,6.97,45.18,20.59,188.95,0,99.5,1220.4,0
38.94,34.48,21.15,7.68,318,6360,35013,5.55,58.02,21.17,39.88,0,62.1,1613.1,1
22.08,67.77,2.53,12.67,311,3421,20159,6.97,50.72,19.22,78.62,0,20.5,1686.6,0
17.06,61.91,10.68,7.11,198,3762,19303,20.65,49.47,20.26,136.74,0,80.6,1258.8,1
6.76,72.47,22.97,10.54,209,3762,19194,11.87,47.27,19.14,183.79,0,40.1,1234.1,0
20.64,53.39,11.15,22.8,310,3410,21279,14.15,53.97,21.52,219.41,0,90.9,1656.6,0
35.88,56.72,6.62,16.25,112,2464,15968,7.19,53.86,20.69,76.92,0,44.1,1216.9,1
31.69,41.84,7.09,4.54,229,4580,25807,7.87,57.0,25.12,61.01,0,78.3,2014.7,0
13.66,50.94,6.86,7.6,68,612,5009,3.42,45.69,19.12,152.94,0,86.2,1310.2,1
21.71,47.63,0.3,7.42,317,5389,28695,12.45,55.98,19.01,27.78,0,27.8,1323.0,1
13.64,35.12,19.67,8.08,267,4005,21508,3.78,47.18,18.48,186.75,0,93.0,1155.6,0
6.37,57.04,14.16,14.56,303,4848,25090,5.73,43.5,20.2,7.56,0,82.6,1463.6,0
57.86,69.13,4.69,22.84,338,7098,40255,13.9,68.21,37.93,24.17,0,39.6,2833.2,0
16.74,72.7,14.91,9.96,137,1644,10494,5.43,49.3,18.63,178.02,0,51.4,1228.1,1
48.58,42.84,5.54,8.36,313,3443,23713,7.02,58.46,31.03,160.76,0,50.9,2280.2,0
22.31,54.45,4.18,20.12,135,1485,11222,9.55,48.57,23.16,14.01,0,93.9,2187.8,0
37.34,52.98,20.27,14.71,63,756,8678,12.97,56.06,29.46,94.98,0,87.1,2191.6,0
38.66,77.12,24.84,8.91,282,5922,33082,9.3,59.33,26.08,44.66,0,94.0,1782.5,1
29.1,81.79,14.74,9.65,111,1665,11658,8.45,62.94,23.66,65.5,0,54.0,2168.0,0
35.85,35.43,23.0,10.24,183,1647,14256,4.47,50.33,26.36,203.52,0,73.3,1589.4,1
36.88,62.3,6.83,23.73,95,1045,9371,10.8,56.15,22.27,107.18,0,79.0,838.2,1
43.39,62.97,1.12,15.88,137,1507,12724,10.89,61.49,24.07,35.88,0,86.1,1207.7,1
5.93,51.99,13.93,36.63,90,1800,9111,3.25,43.99,18.79,14.66,0,89.6,1352.6,0
15.37,36.06,4.44,16.93,324,2592,16922,4.08,51.73,20.16,221.83,0,91.0,1214.9,0
69.09,65.58,22.54,7.16,81,972,13701,11.17,71.63,49.32,52.51,0,29.5,3062.9,0
4.93,73.24,6.65,4.48,153,2907,14745,4.97,42.87,18.69,25.02,0,55.1,1575.1,0
18.59,46.8,16.66,8.39,239,2868,16499,2.58,53.27,19.76,34.46,0,63.8,1782.4,0
27.16,72.95,12.07,4.58,68,1020,8317,16.95,60.0,22.68,5.18,0,21.6,1868.7,0
32.19,55.06,25.51,7.64,199,4378,24966,12.57,60.24,21.34,62.99,0,40.7,1915.5,0
48.21,76.33,26.78,12.33,279,6417,35572,9.37,67.14,26.89,30.01,0,40.9,1961.7,1
31.97,76.3,1.06,5.59,203,4466,24254,5.1,54.44,25.69,40.99,0,48.4,2160.2,0
49.16,54.65,5.25,19.53,300,3600,24309,16.78,64.47,30.5,132.92,0,91.1,1888.1,1
18.42,61.26,30.71,8.99,324,5184,27725,7.65,48.04,21.69,251.24,0,63.7,1374.7,0
2.94,44.46,7.76,19.69,221,1989,11879,10.29,43.24,17.52,3.54,0,73.8,1278.0,0
43.83,30.65,10.85,6.91,307,6140,35415,11.43,60.25,33.96,162.42,0,90.7,2548.1,0
22.02,58.76,3.04,18.81,66,1320,8425,4.21,50.05,21.84,2.23,0,70.8,1800.2,0
12.73,33.01,12.07,9.0,219,4599,22984,8.13,46.72,16.8,37.24,0,55.1,1138.7,1
56.23,86.4,4.61,10.57,166,3486,23898,13.39,69.7,33.34,46.62,0,72.1,2042.8,1
13.52,72.08,26.51,8.32,147,2352,13266,9.48,49.22,19.08,104.84,0,73.4,1207.2,1
18.93,52.73,3.35,11.13,149,1937,13409,3.27,46.63,19.36,197.48,0,59.4,1378.2,1
27.89,95.01,6.69,17.21,284,6248,32601,21.26,59.42,27.91,241.69,0,96.6,2208.9,0
25.85,45.54,1.5,5.33,316,4424,25930,9.22,52.06,20.09,9.12,0,46.9,1664.3,0
17.14,49.11,13.3,46.21,303,3333,19563,11.48,47.42,20.45,171.95,0,91.6,1762.2,0
39.03,48.93,42.7,46.52,335,6030,32124,8.11,56.98,25.21,30.47,0,23.6,1985.7,0
13.88,54.04,2.85,9.02,71,1562,8982,2.9,45.35,20.4,143.52,0,74.7,1671.7,0
46.59,50.35,0.3,22.15,246,4428,26468,15.61,63.71,25.73,84.61,0,81.1,1629.0,1
61.58,61.85,8.23,5.94,294,4116,27682,8.44,67.52,40.82,33.78,0,29.1,2879.5,0
30.74,40.02,20.7,4.56,178,3916,22246,12.23,55.61,23.51,110.29,0,92.1,1796.7,0
31.17,56.92,55.39,38.85,322,6762,35580,5.6,58.46,24.2,14.75,0,76.3,1689.1,1
13.47,46.86,0.79,19.61,273,5187,26566,8.21,50.09,16.93,43.19,0,33.0,1095.1,0
72.39,55.94,23.12,13.38,214,2782,22202,8.45,70.54,58.46,30.52,0,77.8,3334.9,0
11.91,38.76,6.9,19.16,137,3151,15839,8.89,47.44,17.3,178.81,0,82.7,1169.2,1
28.54,42.03,2.5,8.17,308,3388,22339,11.73,52.27,19.55,83.04,0,42.5,1165.5,0
51.43,86.88,3.2,12.99,328,3608,24918,18.52,68.15,33.63,273.15,0,78.4,2120.0,0
15.65,41.18,38.63,14.1,333,5661,29035,2.73,50.06,20.6,57.07,0,68.2,1349.0,0
26.06,62.85,24.86,5.13,245,5145,27872,9.01,52.62,23.07,105.16,0,75.8,1978.4,0
13.98,46.95,5.6,24.4,338,5746,29834,6.43,48.9,18.43,42.14,0,83.3,1070.6,0
38.81,39.74,42.25,9.33,127,2794,17754,6.88,55.45,26.34,76.4,0,94.1,1833.1,1
46.42,55.96,1.67,6.03,292,2336,19418,13.44,63.87,28.07,101.39,0,47.0,2380.9,0
12.85,41.97,5.84,33.62,145,2755,14227,4.02,45.73,17.52,125.71,0,74.5,1327.0,1
5.52,62.77,15.87,25.62,237,2844,14965,6.58,45.94,19.69,29.34,0,98.0,1332.3,0
1.73,53.13,111.76,10.77,103,1133,5516,2.62,39.17,19.48,314.52,0,29.7,1306.5,0
15.92,75.04,9.4,5.76,124,2604,14912,10.67,49.34,22.27,4.34,0,73.5,1851.7,0
26.67,35.42,24.97,16.79,201,2211,14276,8.22,57.32,18.64,8.77,0,21.9,1724.0,0
52.97,59.14,37.13,12.76,206,2472,19363,7.92,64.92,31.64,13.51,0,34.7,2533.7,0
30.71,60.56,0.15,45.61,88,1408,10366,11.56,56.38,24.35,48.56,0,82.7,2192.7,0
25.05,40.05,5.11,27.37,307,5833,31503,9.03,51.08,23.83,12.15,0,78.9,1910.1,0
40.36,45.04,1.59,9.31,169,2535,17525,5.72,61.21,28.18,26.53,0,87.4,1923.7,1
36.96,33.65,22.45,29.4,287,4018,24168,22.25,54.17,24.47,58.69,0,60.5,2165.2,0
22.08,31.6,12.56,27.59,345,7590,38321,6.06,49.07,21.99,28.06,0,91.3,1727.5,1
9.07,53.22,1.51,4.29,145,2900,15015,11.3,47.42,19.4,123.06,0,69.9,1128.7,1
42.63,67.1,8.19,17.4,112,2016,14443,7.5,59.75,21.43,18.94,0,26.3,1450.2,1
30.77,53.03,10.82,25.38,84,840,8157,3.97,53.73,25.29,139.02,0,91.1,2156.1,0
8.69,53.65,17.95,9.59,67,804,5730,14.22,43.07,18.12,49.33,0,50.5,1256.7,1
31.99,35.53,22.68,5.84,167,3173,19701,4.4,53.2,18.92,67.85,0,34.6,1186.0,1
17.25,23.48,1.38,74.62,258,3612,20406,7.24,47.61,20.79,3.74,0,86.0,1441.5,0
52.36,60.13,10.03,31.87,145,1305,14338,5.99,69.59,34.29,28.33,0,93.8,2537.3,0
14.41,45.09,2.64,14.53,280,2520,16171,5.09,45.42,18.59,15.38,0,61.6,1539.8,0
43.69,27.99,20.99,3.45,61,1159,10615,14.6,61.96,28.18,76.01,0,70.9,2371.3,0
56.2,46.84,16.08,9.74,300,3600,25731,7.46,65.44,35.73,109.0,0,53.4,2487.2,0
20.39,58.74,19.26,40.69,306,4896,26210,13.79,54.17,19.83,13.14,0,87.6,1453.2,1
26.53,61.04,1.17,27.98,207,3519,20108,11.33,54.47,26.47,68.24,0,98.7,1831.8,0
34.3,57.98,10.71,10.65,198,1980,15458,7.26,58.35,26.45,9.76,0,23.9,2145.6,0
30.82,44.57,27.54,9.26,274,2192,15483,12.59,53.7,21.38,74.6,0,40.5,1993.8,0
7.85,63.92,18.74,30.15,127,2286,11782,11.3,47.42,20.81,10.11,0,89.5,800.0,0
20.42,54.69,29.68,10.86,319,4466,25123,4.17,48.02,19.59,128.08,0,73.5,1073.4,1
46.76,41.86,3.46,11.67,316,6004,34787,10.6,58.71,31.26,81.5,0,61.5,2353.9,0
22.44,38.24,5.07,16.3,275,4400,24287,8.76,49.88,16.75,107.85,0,23.3,1513.6,1
56.43,57.94,8.73,17.93,214,2782,21490,11.0,64.99,36.39,22.22,0,62.6,2718.3,0
45.84,68.03,11.11,6.5,130,2730,18455,7.54,64.6,28.65,114.13,0,42.2,2267.2,0
22.87,63.91,4.36,18.25,93,1209,8320,6.77,52.61,17.77,130.88,0,27.8,1646.8,0
19.42,57.45,7.2,6.92,312,3432,20483,12.35,52.93,18.11,3.96,0,27.0,1737.6,0
11.4,64.5,17.43,27.45,255,3825,20454,15.87,51.37,18.6,37.06,0,88.6,1214.3,1
11.89,90.57,15.55,10.28,61,549,4672,7.78,46.6,22.59,143.69,0,75.5,1449.8,0
22.43,59.32,1.76,15.0,306,5814,30327,9.43,56.19,22.99,34.63,0,98.5,1887.4,0
17.48,57.36,63.72,2.25,286,3718,20910,12.53,50.65,18.54,182.31,0,29.8,1703.0,0
23.81,63.17,12.41,20.84,292,4964,27379,12.16,52.87,20.18,7.56,0,66.6,1751.5,0
43.79,66.25,9.91,22.65,278,3892,24849,16.27,61.65,31.74,63.85,0,87.9,2012.4,1
30.51,34.96,51.28,9.23,259,2331,17025,5.82,57.95,23.65,24.17,0,98.1,1611.1,1
41.1,57.66,2.27,5.53,139,1668,13961,11.93,61.22,23.27,33.57,0,78.7,1413.0,0
23.84,70.06,11.77,5.43,289,3179,20614,8.13,50.45,23.35,59.04,0,83.0,1480.6,1
30.56,81.18,24.53,12.62,338,2704,19764,10.59,56.45,25.72,6.3,0,64.7,1964.2,1
22.43,55.3,7.64,6.45,174,3654,20215,8.56,53.12,21.17,33.94,0,54.5,1419.0,1
22.83,48.19,19.99,12.11,296,3848,22780,6.46,53.15,20.68,6.62,0,50.8,1666.5,0
60.14,57.47,34.41,13.52,81,1296,13658,15.54,66.26,37.82,20.45,0,57.6,2620.6,0
18.61,45.34,4.55,14.46,200,2400,14246,11.43,48.24,22.31,78.14,0,81.8,1553.3,0
33.22,78.54,4.15,29.9,287,3157,20716,5.41,59.12,23.74,9.42,0,68.2,1577.0,1
15.36,62.21,6.71,27.65,129,2580,13472,10.33,53.28,17.94,54.34,0,39.8,1353.9,0
58.96,54.21,8.13,13.85,132,1188,13370,8.92,66.78,33.11,96.18,0,78.3,2099.0,1
13.6,71.7,1.77,18.85,313,4695,24874,17.63,45.82,19.57,89.62,0,68.5,1659.9,0
14.53,37.7,3.95,16.03,211,4009,21291,5.0,48.35,17.78,5.26,0,70.2,976.6,0
46.96,23.92,30.98,30.48,226,3616,23296,5.32,57.55,31.51,47.03,0,71.8,2486.6,0
34.71,61.33,12.54,13.81,148,1924,13657,11.28,58.97,18.42,37.83,0,48.0,1169.0,0
22.44,71.11,4.68,22.05,278,6394,32222,8.51,49.53,16.06,8.71,0,28.7,800.0,1
38.07,52.87,43.13,47.65,229,2977,20558,11.61,54.7,27.85,142.28,0,72.8,2084.0,0
25.27,44.81,22.33,16.36,327,4251,24311,6.54,50.84,22.3,136.23,0,68.9,1936.2,0
19.18,40.65,6.75,9.54,316,2844,18664,4.8,45.84,18.27,140.69,0,72.2,922.6,0
21.78,36.48,21.75,9.79,264,3168,19522,6.65,50.33,20.87,0.57,0,84.1,1386.8,1
